0,1600,1500,1400,1300,1200
2000,95000,90100,85200,80300,75400
1900,90300,85700,81000,76400,71700
1800,85600,81200,76800,72400,68000
1700,80900,76700,72600,68400,64300
1600,76200,72300,68400,64500,60600
1500,71500,67800,64200,60500,56900
1400,66800,63400,60000,56600,53200
1300,62100,58900,55800,52600,49400
1200,57400,54500,51600,48600,45700
1100,52700,50000,47400,44700,42000
1000,48000,45600,43100,40700,38300
950,45600,43300,41000,38700,36400
900,43200,41000,38800,36700,34500
850,40800,38700,36700,34600,32600
800,38400,36400,34500,32600,30700
750,35900,34100,32300,30500,28700
700,33500,31800,30200,28500,26800
650,31100,29600,28000,26500,24900
600,28700,27300,25800,24400,23000
550,26300,25000,23700,22400,21100
500,23900,22700,21500,20300,19200
450,21500,20400,19400,18300,17300
400,19000,18100,17200,16300,15300
350,16600,15800,15000,14200,13400
300,14200,13500,12900,12200,11500
250,11800,11300,10700,10100,9600
200,9700,9200,8800,8300,7900
180,9200,8700,8300,7900,7500
160,8200,7800,7400,7100,6700
140,7200,6900,6600,6300,5900
120,6200,5900,5700,5400,5100
100,5300,5100,4900,4600,4400
80,4300,4200,4000,3800,3600
60,3200,3100,3000,2900,2800
40,2700,2600,2500,2400,2300
30,2000,1900,1900,1800,1800
20,1700,1700,1600,1600,1500
10,1200,1200,1200,1200,1100
