0,2000,1900,1800,1700,1600,1500,1400,1300,1200,1100,1000,950,900,850,800,750,700,650,600,550,500,450,400,350,300,250,200,150,100,50
800,55000,52800,50700,48500,46300,44200,42000,39800,37700,35500,33300,32300,31200,30100,28000,26900,24900,23900,22600,21600,20700,19700,18700,17700,16800,15800,14700,13500,12300,11500
750,51400,49400,47400,45400,43300,41300,39300,37300,35300,33300,31200,30300,29200,28200,26300,25300,23400,22500,21200,20300,19400,18500,17600,16700,15800,14800,13800,12700,11600,10900
700,48000,46100,44200,42300,40500,38600,36700,34800,32900,31100,29200,28200,27300,26400,24500,23600,21900,21000,19800,19000,18100,17300,16400,15600,14700,13900,12900,11900,10900,10200
650,44600,42800,41100,39400,37600,35900,34100,32400,30600,28900,27100,26200,25400,24500,22800,21900,20300,19500,18400,17700,16900,16100,15300,14500,13700,13000,12000,11100,10200,9500
600,41100,39500,37900,36300,34700,33100,31500,29900,28300,26700,25000,24200,23400,22600,21100,20300,18800,18000,17100,16300,15600,14900,14200,13400,12700,12000,11100,10300,9500,8800
550,37600,36200,34700,33200,31800,30300,28900,27400,25900,24500,23000,22200,21500,20800,19300,18600,17200,16600,15700,15000,14400,13700,13000,12400,11700,11100,10300,9500,8700,8200
500,32900,31600,30300,29100,27800,26500,25200,24000,22700,21400,20100,19500,18900,18200,17300,16700,15500,14900,12100,11600,11100,10700,10200,9600,9200,8700,8100,7500,6900,6500
450,29500,28400,27200,26100,25000,23800,22700,21600,20400,19300,18100,17600,17000,16400,15600,15100,14000,13400,11000,10500,10100,9600,9200,8800,8300,7900,7400,6800,6300,5900
400,26200,25200,24200,23200,22200,21200,20200,19200,18200,17200,16100,15600,15100,14600,13900,13400,12500,12000,9800,9400,9000,8600,8200,7800,7500,7100,6600,6200,5700,5400
350,22900,22000,21100,20300,19400,18500,17600,16800,15900,15000,14100,13700,13200,12800,12200,11800,10900,10500,8600,8300,7900,7600,7200,6900,6600,6200,5800,5400,5000,4700
300,19500,18700,18000,17300,16500,15800,15100,14300,13600,12900,12100,11800,11400,11000,10500,10200,9400,9100,7400,7100,6900,6600,6300,6000,5700,5400,5100,4800,4400,4200
250,16200,15600,15000,14400,13800,13200,12600,12000,11400,10800,10200,9800,9500,9200,8800,8500,7900,7600,6200,6000,5800,5500,5300,5100,4800,4600,4300,4000,3800,3600
200,13100,12600,12100,11600,11200,10700,10200,9700,9300,8800,8300,8000,7800,7600,7200,6900,6400,6200,5100,4900,4700,4500,4400,4100,4000,3800,3600,3400,3100,3000
180,12360,11960,11460,11060,10560,10160,9660,9260,8760,8360,7860,7660,7360,7160,6760,6560,6160,5960,4860,4660,4460,4260,4160,3960,3760,3560,3360,3160,2960,2860
160,11020,10620,10220,9820,9420,9020,8620,8220,7820,7420,7020,6820,6720,6520,6120,5920,5520,5320,4320,4220,4020,3920,3720,3620,3420,3320,3120,2920,2720,2620
140,9680,9280,8980,8580,8280,7980,7580,7280,6980,6580,6280,6080,5880,5780,5480,5280,4880,4780,3880,3780,3580,3480,3380,3180,3080,2880,2780,2580,2480,2380
120,8240,7940,7640,7440,7140,6840,6540,6240,5940,5740,5440,5240,5140,4940,4740,4540,4240,4140,3340,3240,3140,3040,2940,2840,2740,2640,2440,2340,2140,2140
100,6800,6600,6300,6100,5900,5700,5400,5200,5000,4800,4500,4400,4300,4200,3900,3800,3500,3400,2900,2800,2700,2600,2500,2400,2300,2200,2100,2000,1900,1800
80,5560,5360,5260,5060,4860,4660,4460,4360,4160,3960,3760,3660,3560,3460,3260,3160,2960,2960,2460,2360,2360,2260,2160,2060,2060,1960,1860,1760,1660,1660
60,4120,4020,3920,3720,3620,3520,3420,3220,3120,3020,2920,2820,2820,2720,2520,2520,2320,2320,1920,1920,1820,1820,1820,1720,1620,1620,1520,1520,1420,1420
40,3280,3180,3180,3080,2980,2880,2780,2680,2580,2480,2380,2380,2280,2280,2080,2080,1980,1880,1580,1580,1580,1480,1480,1480,1380,1380,1380,1280,1280,1280
30,2460,2460,2360,2360,2260,2160,2160,2060,2060,1960,1960,1860,1860,1860,1760,1660,1660,1560,1360,1360,1260,1260,1260,1260,1260,1260,1160,1160,1160,1160
20,1940,1940,1940,1840,1840,1840,1740,1740,1740,1640,1640,1640,1540,1540,1440,1440,1340,1340,1140,1140,1140,1140,1140,1040,1040,1040,1040,1040,1040,940
10,1320,1320,1320,1320,1320,1320,1320,1220,1220,1220,1220,1220,1220,1220,1120,1120,1120,1120,920,920,920,920,920,920,920,920,920,920,920,920
