0 ,250Km
2000 ,"31,700"
1900 ,"30,200"
1800 ,"28,800"
1700 ,"27,300"
1600 ,"25,800"
1500 ,"24,300"
1400 ,"22,800"
1300 ,"21,300"
1200 ,"19,900"
1100 ,"18,400"
1000 ,"16,900"
950 ,"16,100"
900 ,"15,300"
850 ,"14,500"
800 ,"13,600"
750 ,"12,800"
700 ,"12,000"
650 ,"11,200"
600 ,"10,400"
550 ,"9,600"
500 ,"8,800"
450 ,"8,000"
400 ,"7,200"
350 ,"6,300"
300 ,"5,500"
250 ,"4,700"
200 ,"4,000"
180 ,"3,800"
160 ,"3,500"
140 ,"3,200"
120 ,"2,800"
100 ,"2,500"
80 ,"2,200"
60 ,"1,800"
40 ,"1,600"
30 ,"1,400"
20 ,"1,300"
10 ,"1,100"
