0,1500,1400,1300,1200,1100,1000,950,900,700,650,600
2000,90300,85400,80500,75600,70700,65800,63300,60900,51000,48600,46100
1900,85800,81200,76500,71800,67200,62500,60200,57900,48500,46200,43900
1800,81400,77000,72500,68100,63700,59300,57100,54900,46100,43900,41600
1700,76900,72700,68600,64400,60300,56100,54000,51900,43600,41500,39400
1600,72400,68500,64600,60700,56800,52900,50900,49000,41100,39200,37200
1500,68000,64300,60600,57000,53300,49600,47800,46000,38700,36800,35000
1400,63500,60100,56700,53300,49800,46400,44700,43000,36200,34500,32800
1300,59000,55900,52700,49500,46400,43200,41600,40100,33700,32100,30500
1200,54600,51700,48700,45800,42900,40000,38500,37100,31200,29800,28300
1100,50100,47400,44800,42100,39400,36800,35400,34100,28800,27400,26100
1000,45700,43200,40800,38400,36000,33500,32300,31100,26300,25100,23900
950,43400,41100,38800,36500,34200,31900,30700,29600,25000,23800,22700
900,41100,38900,36700,34600,32400,30200,29100,28000,23700,22600,21500
850,38800,36700,34700,32600,30600,28500,27500,26500,22400,21400,20300
800,36500,34600,32700,30700,28800,26900,25900,24900,21100,20100,19200
750,34200,32400,30600,28800,27000,25200,24300,23400,19800,18900,18000
700,31900,30200,28600,26900,25200,23500,22700,21900,18500,17700,16800
650,29600,28100,26500,25000,23400,21900,21100,20300,17200,16400,15600
600,27300,25900,24500,23000,21600,20200,19500,18700,15900,15200,14500
550,25000,23700,22400,21100,19800,18500,17900,17200,14600,14000,13300
500,22700,21600,20400,19200,18000,16800,16300,15700,13300,12700,12100
450,20500,19400,18300,17300,16200,15200,14700,14100,12000,11500,11000
400,18200,17200,16300,15400,14400,13500,13000,12600,10700,10300,9800
350,15800,15000,14200,13400,12600,11800,11400,11000,9400,9000,8600
300,13600,12900,12200,11500,10800,10200,9800,9500,8100,7800,7400
250,11300,10700,10200,9600,9100,8500,8200,7900,6800,6500,6300
200,9200,8800,8300,7900,7500,7000,6800,6600,5600,5400,5200
180,8800,8300,7900,7500,7100,6600,6400,6200,5400,5200,5000
160,7800,7500,7100,6700,6400,6000,5800,5600,4900,4700,4500
140,6900,6600,6300,6000,5600,5300,5200,5000,4300,4200,4000
120,5900,5700,5400,5100,4900,4600,4500,4300,3800,3700,3500
100,5100,4900,4600,4400,4200,4000,3900,3800,3300,3200,3100
80,4200,4000,3800,3700,3500,3300,3200,3100,2800,2700,2600
60,3100,3000,2900,2800,2700,2500,2500,2400,2200,2100,2100
40,2600,2500,2400,2300,2200,2100,2100,2100,1900,1800,1800
30,1900,1900,1800,1800,1700,1700,1700,1600,1500,1500,1500
20,1700,1600,1600,1500,1500,1500,1500,1400,1400,1300,1300
10,1200,1200,1200,1100,1100,1100,1100,1100,1100,1100,1100
